"總目","帳目","分目(編號)","分目","項目(編號)","涵蓋的範圍","核准
承擔額
$'000","截至
31.3.2017止
的累積開支
$'000","2017-18
修訂預算開支
$'000","結餘
$'000"
"63","經營帳目","700","一般非經常開支","831","社區重點項目計劃(中西區)－美化及活化西區副食品批發市場的臨海地段項目的非工程部分",9700,3713,2472,3515
"63","經營帳目","700","一般非經常開支","834","社區重點項目計劃(荃灣區)－重建西樓角花園項目的非工程部分",4800,1483,1351,1966
"63","經營帳目","700","一般非經常開支","835","社區重點項目計劃(沙田區)－覆蓋沙田大圍明渠項目的非工程部分",2378,387,453,1538
"63","經營帳目","700","一般非經常開支","836","社區重點項目計劃(屯門區)－推動屯門青少年發展項目的非工程部分",28300,130,460,27710
"63","經營帳目","700","一般非經常開支","837","社區重點項目計劃(屯門區)－活化屯門河及市中心環境項目的非工程部分",4500,539,1100,2861
"63","經營帳目","700","一般非經常開支","838","社區重點項目計劃(大埔區)－改裝大埔官立中學作藝術中心項目的非工程部分",1900,484,581,835
"63","經營帳目","700","一般非經常開支","840","社區重點項目計劃(元朗區)－興建元朗區綜合服務大樓項目的非工程部分",6000,1260,1680,3060
"63","經營帳目","700","一般非經常開支","841","社區重點項目計劃(觀塘區)－觀塘崇仁街升降機塔項目的非工程部分",5800,734,689,4377
"63","經營帳目","700","一般非經常開支","843","社區重點項目計劃(油尖旺區)－油尖旺多元文化活動中心項目的非工程部分",9900,913,2400,6587
"63","經營帳目","700","一般非經常開支","844","社區重點項目計劃(九龍城區)－活化和發展牛棚後方用地項目的非工程部分",9900,2036,2791,5073
"63","經營帳目","700","一般非經常開支","845","社區重點項目計劃(東區)－東區文化廣場項目的非工程部分",9300,2080,2788,4432
"63","經營帳目","700","一般非經常開支","846","社區重點項目計劃(西貢區)－建設將軍澳文物行山徑及歷史風物資料館項目的非工程部分",4640,944,1809,1887
"63","經營帳目","700","一般非經常開支","847","社區重點項目計劃(西貢區)－重建橋咀碼頭項目的非工程部分",1160,236,453,471
